arrival_date,year,month,weekday,time_id
2016-11-27,2016,11,1,474
2015-11-03,2015,11,3,475
2016-04-03,2016,4,1,476
2016-10-13,2016,10,5,477
2017-05-08,2017,5,2,478
2017-05-06,2017,5,7,479
2017-06-26,2017,6,2,480
2015-07-28,2015,7,3,481
2016-12-06,2016,12,3,482
2016-02-02,2016,2,3,483
2016-11-26,2016,11,7,484
2017-01-09,2017,1,2,485
2016-06-24,2016,6,6,486
2016-12-14,2016,12,4,487
2016-03-10,2016,3,5,488
2016-11-02,2016,11,4,489
2015-10-09,2015,10,6,490
2016-09-19,2016,9,2,491
2016-02-07,2016,2,1,492
2016-10-10,2016,10,2,493
2016-08-11,2016,8,5,494
2017-06-16,2017,6,6,495
2015-07-22,2015,7,4,496
2016-10-19,2016,10,4,497
2017-05-23,2017,5,3,498
2017-07-23,2017,7,1,499
2016-01-17,2016,1,1,500
2015-09-24,2015,9,5,501
2015-11-20,2015,11,6,502
2016-01-12,2016,1,3,503
2016-06-09,2016,6,5,504
2017-04-06,2017,4,5,505
2017-03-10,2017,3,6,506
2017-05-03,2017,5,4,507
2015-10-22,2015,10,5,508
2016-07-11,2016,7,2,509
2016-11-10,2016,11,5,510
2017-05-04,2017,5,5,511
2017-02-21,2017,2,3,512
2016-01-08,2016,1,6,513
2016-05-04,2016,5,4,514
2015-07-04,2015,7,7,515
2015-07-26,2015,7,1,516
2015-12-16,2015,12,4,517
2017-03-23,2017,3,5,518
2017-03-03,2017,3,6,519
2015-08-26,2015,8,4,520
2016-02-17,2016,2,4,521
2016-02-23,2016,2,3,522
2017-07-17,2017,7,2,523
2017-05-02,2017,5,3,524
2015-08-12,2015,8,4,525
2017-06-05,2017,6,2,526
2017-03-22,2017,3,4,527
2016-07-18,2016,7,2,528
2017-07-09,2017,7,1,529
2016-11-05,2016,11,7,530
2015-09-13,2015,9,1,531
2015-11-10,2015,11,3,532
2016-12-10,2016,12,7,533
2016-09-10,2016,9,7,534
2017-05-17,2017,5,4,535
2015-09-30,2015,9,4,536
2016-03-28,2016,3,2,537
2016-05-30,2016,5,2,538
2016-11-29,2016,11,3,539
2017-04-24,2017,4,2,540
2017-07-25,2017,7,3,541
2015-10-29,2015,10,5,542
2017-06-23,2017,6,6,543
2016-04-15,2016,4,6,544
2015-07-09,2015,7,5,545
2016-04-28,2016,4,5,546
2017-03-02,2017,3,5,547
2017-07-21,2017,7,6,548
2017-08-25,2017,8,6,549
2017-02-02,2017,2,5,550
2016-12-09,2016,12,6,551
2017-01-22,2017,1,1,552
2015-08-13,2015,8,5,553
2016-03-15,2016,3,3,554
2016-04-24,2016,4,1,555
2016-01-30,2016,1,7,556
2016-04-23,2016,4,7,557
2017-05-24,2017,5,4,558
2017-03-12,2017,3,1,559
2015-09-01,2015,9,3,560
2017-07-24,2017,7,2,561
2016-03-08,2016,3,3,562
2016-06-26,2016,6,1,563
2016-12-16,2016,12,6,564
2017-05-25,2017,5,5,565
2017-01-15,2017,1,1,566
2015-09-27,2015,9,1,567
2015-10-04,2015,10,1,568
2015-10-31,2015,10,7,569
2017-07-05,2017,7,4,570
2015-11-13,2015,11,6,571
2015-09-08,2015,9,3,572
2016-05-19,2016,5,5,573
2016-07-07,2016,7,5,574
2016-03-06,2016,3,1,575
2017-08-15,2017,8,3,576
2015-07-02,2015,7,5,577
2015-08-07,2015,8,6,578
2016-01-22,2016,1,6,579
2016-02-10,2016,2,4,580
2016-07-01,2016,7,6,581
2016-02-24,2016,2,4,582
2017-07-19,2017,7,4,583
2016-07-23,2016,7,7,584
2017-05-18,2017,5,5,585
2016-01-02,2016,1,7,586
2017-07-02,2017,7,1,587
2017-05-12,2017,5,6,588
2017-08-09,2017,8,4,589
2016-09-06,2016,9,3,590
2017-07-01,2017,7,7,591
2017-05-20,2017,5,7,592
2017-03-31,2017,3,6,593
2015-07-16,2015,7,5,594
2016-03-17,2016,3,5,595
2016-04-05,2016,4,3,596
2017-07-16,2017,7,1,597
2016-01-31,2016,1,1,598
2017-03-09,2017,3,5,599
2017-01-28,2017,1,7,600
2017-01-02,2017,1,2,601
2016-08-17,2016,8,4,602
2015-10-23,2015,10,6,603
2016-02-05,2016,2,6,604
2016-06-21,2016,6,3,605
2016-08-24,2016,8,4,606
2016-09-21,2016,9,4,607
2016-10-08,2016,10,7,608
2017-02-20,2017,2,2,609
2017-07-29,2017,7,7,610
2016-04-06,2016,4,4,611
2017-08-12,2017,8,7,612
2017-03-04,2017,3,7,613
2017-01-18,2017,1,4,614
2015-12-13,2015,12,1,615
2017-02-19,2017,2,1,616
2016-05-24,2016,5,3,617
2017-02-15,2017,2,4,618
2016-03-30,2016,3,4,619
2016-10-28,2016,10,6,620
2016-12-08,2016,12,5,621
2015-11-29,2015,11,1,622
2015-07-19,2015,7,1,623
2015-11-18,2015,11,4,624
2016-06-03,2016,6,6,625
2016-07-06,2016,7,4,626
2016-07-20,2016,7,4,627
2017-02-13,2017,2,2,628
2016-06-30,2016,6,5,629
2016-03-13,2016,3,1,630
2017-04-16,2017,4,1,631
2015-08-11,2015,8,3,632
2016-03-07,2016,3,2,633
2016-06-28,2016,6,3,634
2016-03-05,2016,3,7,635
2016-12-24,2016,12,7,636
2015-12-21,2015,12,2,637
2016-01-23,2016,1,7,638
2016-10-05,2016,10,4,639
2017-05-29,2017,5,2,640
2017-01-03,2017,1,3,641
2015-12-03,2015,12,5,642
2016-02-06,2016,2,7,643
2016-03-12,2016,3,7,644
2017-04-19,2017,4,4,645
2017-04-13,2017,4,5,646
2015-07-25,2015,7,7,647
2016-05-20,2016,5,6,648
2017-07-28,2017,7,6,649
2017-04-04,2017,4,3,650
2016-01-04,2016,1,2,651
2015-10-05,2015,10,2,652
2016-06-12,2016,6,1,653
2016-07-05,2016,7,3,654
2016-10-31,2016,10,2,655
2017-03-01,2017,3,4,656
2017-03-25,2017,3,7,657
2015-11-24,2015,11,3,658
2017-06-12,2017,6,2,659
2016-12-28,2016,12,4,660
2017-02-11,2017,2,7,661
2017-07-20,2017,7,5,662
2016-11-13,2016,11,1,663
2015-07-14,2015,7,3,664
2015-10-10,2015,10,7,665
2016-02-14,2016,2,1,666
2016-05-29,2016,5,1,667
2017-07-08,2017,7,7,668
2016-11-12,2016,11,7,669
2017-04-28,2017,4,6,670
2015-07-03,2015,7,6,671
2016-06-11,2016,6,7,672
2016-09-28,2016,9,4,673
2015-09-11,2015,9,6,674
2015-12-28,2015,12,2,675
2017-05-31,2017,5,4,676
2015-08-04,2015,8,3,677
2016-05-25,2016,5,4,678
2016-01-25,2016,1,2,679
2016-01-15,2016,1,6,680
2016-12-01,2016,12,5,681
2015-08-05,2015,8,4,682
2015-08-25,2015,8,3,683
2016-02-20,2016,2,7,684
2016-06-25,2016,6,7,685
2017-08-02,2017,8,4,686
2017-02-09,2017,2,5,687
2016-10-04,2016,10,3,688
2016-02-01,2016,2,2,689
2017-05-16,2017,5,3,690
2016-11-20,2016,11,1,691
2017-08-23,2017,8,4,692
2016-11-11,2016,11,6,693
2016-01-16,2016,1,7,694
2016-07-22,2016,7,6,695
2016-04-21,2016,4,5,696
2016-08-25,2016,8,5,697
2016-03-09,2016,3,4,698
2016-01-10,2016,1,1,699
2015-07-05,2015,7,1,700
2015-11-09,2015,11,2,701
2016-05-22,2016,5,1,702
2016-01-18,2016,1,2,703
2015-08-18,2015,8,3,704
2016-07-28,2016,7,5,705
2016-09-20,2016,9,3,706
2016-09-29,2016,9,5,707
2017-03-14,2017,3,3,708
2015-08-28,2015,8,6,709
2016-02-16,2016,2,3,710
2016-02-27,2016,2,7,711
2017-03-08,2017,3,4,712
2017-06-04,2017,6,1,713
2015-12-18,2015,12,6,714
2016-10-25,2016,10,3,715
2017-04-17,2017,4,2,716
2016-10-18,2016,10,3,717
2016-01-07,2016,1,5,718
2016-01-09,2016,1,7,719
2016-04-10,2016,4,1,720
2016-09-07,2016,9,4,721
2016-12-23,2016,12,6,722
2016-10-01,2016,10,7,723
2017-04-10,2017,4,2,724
2015-08-29,2015,8,7,725
2016-05-18,2016,5,4,726
2016-06-01,2016,6,4,727
2017-08-24,2017,8,5,728
2015-08-23,2015,8,1,729
2017-06-27,2017,6,3,730
2015-11-01,2015,11,1,731
2016-06-04,2016,6,7,732
2015-09-18,2015,9,6,733
2015-10-15,2015,10,5,734
2016-06-20,2016,6,2,735
2016-09-04,2016,9,1,736
2017-01-14,2017,1,7,737
2017-05-01,2017,5,2,738
2016-10-15,2016,10,7,739
2016-12-26,2016,12,2,740
2015-09-25,2015,9,6,741
2015-11-23,2015,11,2,742
2016-04-27,2016,4,4,743
2016-07-25,2016,7,2,744
2016-11-03,2016,11,5,745
2017-06-24,2017,6,7,746
2017-08-26,2017,8,7,747
2017-04-01,2017,4,7,748
2016-05-06,2016,5,6,749
2016-06-07,2016,6,3,750
2016-09-11,2016,9,1,751
2017-05-15,2017,5,2,752
2016-08-28,2016,8,1,753
2015-11-12,2015,11,5,754
2015-11-14,2015,11,7,755
2015-11-16,2015,11,2,756
2016-03-18,2016,3,6,757
2017-02-14,2017,2,3,758
2016-12-07,2016,12,4,759
2016-07-09,2016,7,7,760
2017-01-29,2017,1,1,761
2016-11-09,2016,11,4,762
2016-03-29,2016,3,3,763
2017-05-13,2017,5,7,764
2015-07-07,2015,7,3,765
2017-02-04,2017,2,7,766
2016-03-23,2016,3,4,767
2016-06-06,2016,6,2,768
2016-07-15,2016,7,6,769
2017-03-15,2017,3,4,770
2016-11-22,2016,11,3,771
2015-08-15,2015,8,7,772
2015-10-06,2015,10,3,773
2015-11-05,2015,11,5,774
2017-06-20,2017,6,3,775
2017-04-21,2017,4,6,776
2016-10-02,2016,10,1,777
2016-11-16,2016,11,4,778
2017-08-13,2017,8,1,779
2017-04-14,2017,4,6,780
2017-07-31,2017,7,2,781
2017-07-06,2017,7,5,782
2017-07-30,2017,7,1,783
2017-06-25,2017,6,1,784
2017-07-27,2017,7,5,785
2017-08-28,2017,8,2,786
2017-08-30,2017,8,4,787
2017-07-04,2017,7,3,788
2017-07-07,2017,7,6,789
2017-07-13,2017,7,5,790
2017-07-14,2017,7,6,791
2017-08-05,2017,8,7,792
